offering_id,course_id,term_id,instructor_id,section_code,room_code,class_size,delivery_mode
OFF00001,CRS0001,TERM004,INS0100,D,BLD-B-134,100,In-Person
OFF00002,CRS0001,TERM003,INS0082,A,BLD-A-245,176,In-Person
OFF00003,CRS0001,TERM002,INS0044,D,BLD-B-103,135,In-Person
OFF00004,CRS0002,TERM004,INS0083,A,BLD-B-171,114,Hybrid
OFF00005,CRS0002,TERM002,INS0033,B,BLD-A-466,94,In-Person
OFF00006,CRS0003,TERM003,INS0062,B,BLD-B-400,45,In-Person
OFF00007,CRS0003,TERM005,INS0043,A,BLD-B-282,88,Hybrid
OFF00008,CRS0003,TERM002,INS0055,D,BLD-B-305,50,Hybrid
OFF00009,CRS0003,TERM004,INS0033,C,BLD-C-260,69,In-Person
OFF00010,CRS0004,TERM001,INS0075,C,BLD-C-172,76,In-Person
OFF00011,CRS0004,TERM003,INS0066,D,BLD-C-203,102,In-Person
OFF00012,CRS0004,TERM002,INS0057,C,BLD-C-422,143,In-Person
OFF00013,CRS0004,TERM004,INS0057,D,BLD-B-150,60,In-Person
OFF00014,CRS0005,TERM002,INS0008,C,BLD-C-451,116,In-Person
OFF00015,CRS0005,TERM003,INS0008,D,BLD-B-316,130,In-Person
OFF00016,CRS0005,TERM001,INS0055,A,BLD-B-146,60,Online
OFF00017,CRS0005,TERM004,INS0007,C,BLD-A-398,156,In-Person
OFF00018,CRS0006,TERM001,INS0012,C,BLD-A-487,125,In-Person
OFF00019,CRS0006,TERM005,INS0075,A,BLD-B-491,157,In-Person
OFF00020,CRS0006,TERM004,INS0066,A,BLD-A-129,94,Hybrid
OFF00021,CRS0007,TERM002,INS0040,A,BLD-B-405,49,Hybrid
OFF00022,CRS0007,TERM004,INS0045,D,BLD-C-270,40,In-Person
OFF00023,CRS0007,TERM003,INS0045,A,BLD-C-205,157,In-Person
OFF00024,CRS0007,TERM001,INS0014,D,BLD-A-215,64,In-Person
OFF00025,CRS0008,TERM001,INS0012,A,BLD-B-420,76,In-Person
OFF00026,CRS0008,TERM005,INS0091,A,BLD-A-410,55,In-Person
OFF00027,CRS0008,TERM003,INS0028,B,BLD-A-154,146,In-Person
OFF00028,CRS0009,TERM005,INS0095,D,BLD-B-129,56,In-Person
OFF00029,CRS0009,TERM002,INS0047,D,BLD-A-221,164,In-Person
OFF00030,CRS0009,TERM004,INS0018,D,BLD-C-416,56,In-Person
OFF00031,CRS0010,TERM002,INS0069,A,BLD-A-173,86,In-Person
OFF00032,CRS0010,TERM001,INS0088,B,BLD-B-346,99,In-Person
OFF00033,CRS0010,TERM004,INS0069,A,BLD-C-353,119,Online
OFF00034,CRS0010,TERM005,INS0088,D,BLD-B-458,52,In-Person
OFF00035,CRS0011,TERM003,INS0031,B,BLD-A-246,142,In-Person
OFF00036,CRS0011,TERM004,INS0034,D,BLD-A-398,102,In-Person
OFF00037,CRS0011,TERM002,INS0058,D,Not Recorded,60,In-Person
OFF00038,CRS0012,TERM002,INS0022,D,BLD-B-105,65,In-Person
OFF00039,CRS0012,TERM001,INS0096,B,BLD-B-462,159,In-Person
OFF00040,CRS0012,TERM004,INS0022,A,BLD-A-436,63,In-Person
OFF00041,CRS0012,TERM003,INS0050,C,BLD-B-467,60,In-Person
OFF00042,CRS0013,TERM005,INS0096,C,BLD-B-135,148,In-Person
OFF00043,CRS0013,TERM001,INS0096,D,BLD-C-438,71,In-Person
OFF00044,CRS0013,TERM004,INS0056,C,BLD-A-458,107,In-Person
OFF00045,CRS0013,TERM002,INS0050,C,BLD-C-417,128,In-Person
OFF00046,CRS0014,TERM003,INS0089,B,BLD-A-150,52,In-Person
OFF00047,CRS0014,TERM004,INS0089,D,BLD-B-490,84,Hybrid
OFF00048,CRS0015,TERM001,INS0095,B,BLD-A-190,89,Hybrid
OFF00049,CRS0015,TERM005,INS0047,D,BLD-A-132,89,In-Person
OFF00050,CRS0015,TERM003,INS0076,A,BLD-B-491,120,Online
OFF00051,CRS0015,TERM002,INS0044,A,BLD-A-265,52,Online
OFF00052,CRS0016,TERM005,INS0096,B,BLD-C-394,167,In-Person
OFF00053,CRS0016,TERM002,INS0022,C,BLD-B-325,98,In-Person
OFF00054,CRS0016,TERM001,INS0050,B,BLD-B-371,74,In-Person
OFF00055,CRS0017,TERM001,INS0099,A,BLD-A-118,60,Hybrid
OFF00056,CRS0017,TERM005,INS0083,C,BLD-B-391,164,Hybrid
OFF00057,CRS0018,TERM003,INS0071,B,BLD-C-474,160,In-Person
OFF00058,CRS0018,TERM001,INS0052,B,BLD-C-343,153,In-Person
OFF00059,CRS0018,TERM005,INS0071,B,BLD-A-325,134,Online
OFF00060,CRS0019,TERM002,INS0090,A,BLD-A-365,101,In-Person
OFF00061,CRS0019,TERM005,INS0053,D,BLD-A-127,178,In-Person
OFF00062,CRS0020,TERM004,INS0097,B,BLD-B-229,124,Online
OFF00063,CRS0020,TERM001,INS0030,A,BLD-A-248,44,In-Person
OFF00064,CRS0021,TERM001,INS0092,C,BLD-B-417,39,In-Person
OFF00065,CRS0021,TERM005,INS0092,A,BLD-C-342,92,Online
OFF00066,CRS0022,TERM001,INS0062,C,BLD-B-234,76,In-Person
OFF00067,CRS0022,TERM003,INS0033,A,BLD-A-205,165,Hybrid
OFF00068,CRS0023,TERM005,INS0061,A,BLD-A-353,43,In-Person
OFF00069,CRS0023,TERM003,INS0065,A,BLD-B-137,131,In-Person
OFF00070,CRS0023,TERM002,INS0044,A,BLD-C-346,58,In-Person
OFF00071,CRS0024,TERM002,INS0032,A,BLD-A-355,154,In-Person
OFF00072,CRS0024,TERM001,INS0097,C,BLD-B-345,102,Hybrid
OFF00073,CRS0025,TERM002,INS0081,A,BLD-A-114,75,In-Person
OFF00074,CRS0025,TERM004,INS0097,D,BLD-C-451,29,In-Person
OFF00075,CRS0026,TERM004,INS0089,D,BLD-B-457,57,In-Person
OFF00076,CRS0026,TERM003,INS0090,D,BLD-C-171,54,In-Person
OFF00077,CRS0027,TERM002,INS0065,C,BLD-B-200,112,In-Person
OFF00078,CRS0027,TERM001,INS0044,A,BLD-A-219,48,In-Person
OFF00079,CRS0027,TERM004,INS0095,B,Not Recorded,162,In-Person
OFF00080,CRS0028,TERM002,INS0052,B,BLD-A-140,39,In-Person
OFF00081,CRS0028,TERM001,INS0025,B,BLD-B-123,105,In-Person
OFF00082,CRS0029,TERM001,INS0022,B,BLD-B-167,180,In-Person
OFF00083,CRS0029,TERM004,INS0022,A,BLD-C-140,44,In-Person
OFF00084,CRS0029,TERM003,INS0079,B,BLD-B-462,116,Hybrid
OFF00085,CRS0029,TERM002,INS0096,B,BLD-B-466,102,Hybrid
OFF00086,CRS0030,TERM005,INS0049,C,BLD-C-226,159,Hybrid
OFF00087,CRS0030,TERM001,INS0097,C,BLD-C-378,153,In-Person
OFF00088,CRS0030,TERM002,INS0049,C,BLD-B-462,149,In-Person
OFF00089,CRS0031,TERM005,INS0087,B,BLD-C-219,103,Online
OFF00090,CRS0031,TERM002,INS0085,B,BLD-A-291,61,In-Person
OFF00091,CRS0032,TERM003,INS0002,D,BLD-C-492,141,Hybrid
OFF00092,CRS0032,TERM005,INS0036,A,BLD-B-118,94,In-Person
OFF00093,CRS0033,TERM003,INS0089,C,BLD-A-131,96,Hybrid
OFF00094,CRS0033,TERM002,INS0003,D,BLD-B-110,122,In-Person
OFF00095,CRS0033,TERM001,INS0089,A,BLD-A-206,122,In-Person
OFF00096,CRS0034,TERM001,INS0041,A,BLD-C-257,33,In-Person
OFF00097,CRS0034,TERM005,INS0089,C,BLD-A-412,111,Hybrid
OFF00098,CRS0034,TERM004,INS0029,C,BLD-C-211,32,In-Person
OFF00099,CRS0035,TERM004,INS0062,D,BLD-B-474,39,Hybrid
OFF00100,CRS0035,TERM001,INS0083,D,BLD-C-448,98,Hybrid
OFF00101,CRS0035,TERM003,INS0007,D,BLD-B-394,170,Hybrid
OFF00102,CRS0036,TERM002,INS0100,B,BLD-B-340,85,In-Person
OFF00103,CRS0036,TERM004,INS0095,A,BLD-B-450,95,In-Person
OFF00104,CRS0036,TERM001,INS0100,B,BLD-C-252,111,In-Person
OFF00105,CRS0037,TERM003,INS0088,C,BLD-B-238,89,Hybrid
OFF00106,CRS0037,TERM005,INS0014,A,BLD-A-258,170,Online
OFF00107,CRS0038,TERM004,INS0030,B,BLD-B-337,29,In-Person
OFF00108,CRS0038,TERM003,INS0030,D,BLD-A-284,147,Online
OFF00109,CRS0038,TERM005,INS0049,B,BLD-B-130,173,Hybrid
OFF00110,CRS0039,TERM001,INS0085,C,BLD-A-326,71,In-Person
OFF00111,CRS0039,TERM003,INS0037,C,BLD-B-354,57,In-Person
OFF00112,CRS0039,TERM002,INS0012,B,BLD-A-417,37,In-Person
OFF00113,CRS0040,TERM001,INS0084,A,BLD-A-451,154,In-Person
OFF00114,CRS0040,TERM004,INS0034,C,BLD-A-384,83,In-Person
OFF00115,CRS0040,TERM003,INS0098,C,BLD-B-109,115,In-Person
OFF00116,CRS0040,TERM002,INS0084,A,Not Recorded,114,In-Person
OFF00117,CRS0041,TERM002,INS0045,D,BLD-A-362,44,In-Person
OFF00118,CRS0041,TERM003,INS0046,C,BLD-C-291,131,In-Person
OFF00119,CRS0041,TERM001,INS0045,D,BLD-B-174,31,In-Person
OFF00120,CRS0042,TERM001,INS0011,C,BLD-B-434,120,In-Person
OFF00121,CRS0042,TERM002,INS0065,C,BLD-C-116,66,In-Person
OFF00122,CRS0042,TERM003,INS0061,C,BLD-A-403,31,In-Person
OFF00123,CRS0043,TERM002,INS0046,C,BLD-C-467,155,Hybrid
OFF00124,CRS0043,TERM004,INS0069,C,BLD-A-294,174,In-Person
OFF00125,CRS0044,TERM001,INS0083,B,BLD-B-491,45,Hybrid
OFF00126,CRS0044,TERM004,INS0043,B,BLD-C-358,172,Online
OFF00127,CRS0044,TERM005,INS0007,D,BLD-C-476,56,Hybrid
OFF00128,CRS0044,TERM003,INS0008,A,BLD-C-342,159,In-Person
OFF00129,CRS0045,TERM004,INS0043,C,BLD-A-395,100,Hybrid
OFF00130,CRS0045,TERM005,INS0083,C,BLD-A-494,117,In-Person
OFF00131,CRS0045,TERM002,INS0083,C,BLD-C-160,86,In-Person
OFF00132,CRS0046,TERM002,INS0040,C,BLD-A-281,168,In-Person
OFF00133,CRS0046,TERM004,INS0045,C,BLD-C-348,179,In-Person
OFF00134,CRS0046,TERM001,INS0040,D,BLD-A-392,57,Hybrid
OFF00135,CRS0047,TERM005,INS0034,D,BLD-C-400,60,Online
OFF00136,CRS0047,TERM003,INS0004,C,BLD-B-261,55,In-Person
OFF00137,CRS0048,TERM005,INS0073,B,BLD-C-354,75,Hybrid
OFF00138,CRS0048,TERM001,INS0001,D,BLD-A-186,55,In-Person
OFF00139,CRS0048,TERM003,INS0001,D,BLD-C-152,57,Hybrid
OFF00140,CRS0049,TERM005,INS0047,A,BLD-C-186,43,In-Person
OFF00141,CRS0049,TERM004,INS0082,D,BLD-B-282,57,In-Person
OFF00142,CRS0049,TERM003,INS0100,B,BLD-C-251,55,In-Person
OFF00143,CRS0050,TERM005,INS0023,A,BLD-C-124,43,Online
OFF00144,CRS0050,TERM004,INS0023,C,BLD-B-310,140,Online
OFF00145,CRS0050,TERM003,INS0057,D,BLD-B-488,147,In-Person
OFF00146,CRS0051,TERM001,INS0062,B,BLD-C-493,175,Hybrid
OFF00147,CRS0051,TERM004,INS0033,A,BLD-A-104,176,In-Person
OFF00148,CRS0051,TERM002,INS0008,D,BLD-B-265,137,In-Person
OFF00149,CRS0051,TERM005,INS0062,C,BLD-A-219,101,In-Person
OFF00150,CRS0052,TERM005,INS0079,D,BLD-B-266,123,In-Person
OFF00151,CRS0052,TERM001,INS0096,B,BLD-A-122,78,In-Person
OFF00152,CRS0053,TERM001,INS0001,C,BLD-A-278,97,In-Person
OFF00153,CRS0053,TERM005,INS0020,C,BLD-B-350,137,In-Person
OFF00154,CRS0053,TERM004,INS0042,B,BLD-B-233,180,Hybrid
OFF00155,CRS0054,TERM005,INS0097,C,BLD-A-150,77,In-Person
OFF00156,CRS0054,TERM003,INS0097,B,BLD-A-407,35,Hybrid
OFF00157,CRS0055,TERM004,INS0075,B,BLD-A-351,31,In-Person
OFF00158,CRS0055,TERM002,INS0091,C,BLD-C-319,138,In-Person
OFF00159,CRS0055,TERM001,INS0057,D,BLD-B-157,55,In-Person
OFF00160,CRS0056,TERM002,INS0097,D,BLD-B-145,60,Hybrid
OFF00161,CRS0056,TERM003,INS0070,A,BLD-B-141,81,Online
OFF00162,CRS0056,TERM001,INS0078,C,BLD-A-360,110,In-Person
OFF00163,CRS0057,TERM002,INS0038,A,BLD-C-453,105,Hybrid
OFF00164,CRS0057,TERM004,INS0001,A,BLD-B-152,158,In-Person
OFF00165,CRS0057,TERM005,INS0020,A,BLD-C-422,27,In-Person
OFF00166,CRS0057,TERM001,INS0073,D,BLD-A-445,75,In-Person
OFF00167,CRS0058,TERM005,INS0028,D,BLD-A-476,152,In-Person
OFF00168,CRS0058,TERM004,INS0085,B,BLD-C-146,157,Hybrid
OFF00169,CRS0059,TERM004,INS0063,B,BLD-A-323,42,In-Person
OFF00170,CRS0059,TERM002,INS0073,B,BLD-C-192,34,In-Person
OFF00171,CRS0059,TERM003,INS0042,C,BLD-C-295,174,In-Person
OFF00172,CRS0059,TERM001,INS0086,C,BLD-B-372,71,Hybrid
OFF00173,CRS0060,TERM004,INS0022,C,BLD-C-349,150,Hybrid
OFF00174,CRS0060,TERM002,INS0096,D,BLD-C-283,164,In-Person
OFF00175,CRS0061,TERM005,INS0083,B,BLD-A-487,98,In-Person
OFF00176,CRS0061,TERM004,INS0033,D,BLD-B-227,133,In-Person
OFF00177,CRS0062,TERM004,INS0083,C,BLD-C-159,113,Online
OFF00178,CRS0062,TERM003,INS0008,B,BLD-B-351,178,In-Person
OFF00179,CRS0062,TERM005,INS0007,B,BLD-A-249,93,In-Person
OFF00180,CRS0063,TERM002,INS0021,A,BLD-C-496,107,In-Person
OFF00181,CRS0063,TERM001,INS0037,C,BLD-B-301,138,In-Person
OFF00182,CRS0063,TERM005,INS0075,C,BLD-A-238,149,Online
OFF00183,CRS0064,TERM002,INS0088,A,BLD-B-330,129,In-Person
OFF00184,CRS0064,TERM005,INS0069,B,Not Recorded,53,Hybrid
