history_id,student_id,snapshot_at,integrity_score,trust_factor_score,prior_confirmed_cases,prior_dismissed_cases,prior_suspicious_flags,prior_ai_flags,prior_plagiarism_flags,prior_sanction_points,recent_integrity_events,integrity_status
1,S00001,2025-08-25,87.16,88.19,0,0,0,0,0,0,0,High
2,S00001,2026-01-19,82.81,83.84,0,0,1,0,0,0,1,High
3,S00001,2026-06-08,86.51,87.54,0,0,1,0,0,0,0,High
4,S00001,2026-08-24,61.61,62.64,1,1,5,2,1,6,4,Moderate
5,S00001,2027-01-18,67.41,68.44,1,1,5,2,1,6,0,Moderate
6,S00002,2025-08-25,82.01,79.69,0,0,0,0,0,0,0,High
7,S00002,2026-01-19,64.66,62.34,1,0,1,1,0,6,1,Moderate
8,S00002,2026-06-08,63.01,60.69,1,0,2,2,0,6,1,Moderate
9,S00002,2026-08-24,60.36,58.04,1,1,3,3,0,6,1,Moderate
10,S00002,2027-01-18,52.36,50.04,1,2,7,6,0,6,3,Moderate
11,S00003,2025-08-25,85.5,85.52,0,0,0,0,0,0,0,High
12,S00003,2026-01-19,85.5,85.52,0,0,0,0,0,0,0,High
13,S00003,2026-06-08,85.5,85.52,0,0,0,0,0,0,0,High
14,S00003,2026-08-24,85.5,85.52,0,0,0,0,0,0,0,High
15,S00003,2027-01-18,81.15,81.17,0,0,1,0,0,0,1,High
16,S00004,2025-08-25,87.7,88.69,0,0,0,0,0,0,0,High
17,S00004,2026-01-19,87.7,88.69,0,0,0,0,0,0,0,High
18,S00004,2026-06-08,87.7,88.69,0,0,0,0,0,0,0,High
19,S00004,2026-08-24,78.15,79.14,0,0,3,1,1,0,3,High
20,S00004,2027-01-18,73.95,74.94,0,2,7,2,1,0,1,Moderate
21,S00005,2025-08-25,83.32,82.03,0,0,0,0,0,0,0,High
22,S00005,2026-01-19,75.27,73.98,0,0,3,1,0,0,3,High
23,S00005,2026-06-08,80.37,79.08,0,0,3,1,0,0,0,High
24,S00005,2026-08-24,66.62,65.33,0,1,8,4,0,0,5,Moderate
25,S00005,2027-01-18,72.47,71.18,0,1,9,4,0,0,0,Moderate
26,S00006,2025-08-25,80.08,77.07,0,0,0,0,0,0,0,High
27,S00006,2026-01-19,80.08,77.07,0,0,0,0,0,0,0,High
28,S00006,2026-06-08,74.38,71.37,0,0,2,0,0,0,2,Moderate
29,S00006,2026-08-24,73.43,70.42,0,0,3,1,0,0,1,Moderate
30,S00006,2027-01-18,77.13,74.12,0,0,3,1,0,0,0,High
31,S00007,2025-08-25,92.88,96.96,0,0,0,0,0,0,0,High
32,S00007,2026-01-19,88.43,92.51,0,0,3,1,1,0,0,High
33,S00007,2026-06-08,88.43,92.51,0,0,3,1,1,0,0,High
34,S00007,2026-08-24,88.43,92.51,0,0,3,1,1,0,0,High
35,S00007,2027-01-18,86.78,90.86,0,1,4,1,1,0,0,High
36,S00008,2025-08-25,80.22,77.2,0,0,0,0,0,0,0,High
37,S00008,2026-01-19,78.92,75.9,0,0,2,0,0,0,0,High
38,S00008,2026-06-08,73.82,70.8,0,0,6,1,1,0,0,Moderate
39,S00008,2026-08-24,73.82,70.8,0,0,6,1,1,0,0,Moderate
40,S00008,2027-01-18,73.82,70.8,0,0,6,1,1,0,0,Moderate
41,S00009,2025-08-25,88.09,89.6,0,0,0,0,0,0,0,High
42,S00009,2026-01-19,88.09,89.6,0,0,0,0,0,0,0,High
43,S00009,2026-06-08,88.09,89.6,0,0,0,0,0,0,0,High
44,S00009,2026-08-24,80.04,81.55,0,0,3,1,0,0,3,High
45,S00009,2027-01-18,78.54,80.05,0,1,7,4,0,0,0,High
46,S00010,2025-08-25,87.82,88.89,0,0,0,0,0,0,0,High
47,S00010,2026-01-19,80.32,81.39,0,1,2,0,1,0,1,High
48,S00010,2026-06-08,84.02,85.09,0,1,2,0,1,0,0,High
49,S00010,2026-08-24,78.67,79.74,0,1,3,1,1,0,1,High
50,S00010,2027-01-18,74.67,75.74,0,1,5,3,1,0,2,Moderate
51,S00011,2025-08-25,84.51,84.04,0,0,0,0,0,0,0,High
52,S00011,2026-01-19,84.51,84.04,0,0,0,0,0,0,0,High
53,S00011,2026-06-08,79.16,78.69,0,0,1,1,0,0,1,High
54,S00011,2026-08-24,78.51,78.04,0,0,2,1,0,0,1,High
55,S00011,2027-01-18,78.91,78.44,0,0,4,3,0,0,0,High
56,S00012,2025-08-25,80.82,77.92,0,0,0,0,0,0,0,High
57,S00012,2026-01-19,57.87,54.97,1,0,5,3,0,8,1,Moderate
58,S00012,2026-06-08,61.57,58.67,1,0,5,3,0,8,0,Moderate
59,S00012,2026-08-24,61.57,58.67,1,0,5,3,0,8,0,Moderate
60,S00012,2027-01-18,53.27,50.37,1,0,9,5,0,8,1,Moderate
61,S00013,2025-08-25,86.63,86.94,0,0,0,0,0,0,0,High
62,S00013,2026-01-19,86.63,86.94,0,0,0,0,0,0,0,High
63,S00013,2026-06-08,86.63,86.94,0,0,0,0,0,0,0,High
64,S00013,2026-08-24,77.23,77.54,0,0,4,1,0,0,4,High
65,S00013,2027-01-18,71.38,71.69,0,1,9,4,0,0,2,Moderate
66,S00014,2025-08-25,86.1,86.05,0,0,0,0,0,0,0,High
67,S00014,2026-01-19,86.1,86.05,0,0,0,0,0,0,0,High
68,S00014,2026-06-08,73.35,73.3,0,1,5,2,0,0,5,Moderate
69,S00014,2026-08-24,74.5,74.45,0,1,6,3,0,0,1,Moderate
70,S00014,2027-01-18,72.85,72.8,0,1,7,4,0,0,1,Moderate
71,S00015,2025-08-25,88.62,90.01,0,0,0,0,0,0,0,High
72,S00015,2026-01-19,87.97,89.36,0,0,1,0,0,0,0,High
73,S00015,2026-06-08,87.97,89.36,0,0,1,0,0,0,0,High
74,S00015,2026-08-24,87.97,89.36,0,0,1,0,0,0,0,High
75,S00015,2027-01-18,64.57,65.96,1,0,5,3,0,6,4,Moderate
76,S00016,2025-08-25,78.73,74.77,0,0,0,0,0,0,0,High
77,S00016,2026-01-19,78.73,74.77,0,0,0,0,0,0,0,High
78,S00016,2026-06-08,78.73,74.77,0,0,0,0,0,0,0,High
79,S00016,2026-08-24,73.38,69.42,0,0,1,1,0,0,1,Moderate
80,S00016,2027-01-18,77.08,73.12,0,0,1,1,0,0,0,High
81,S00017,2025-08-25,89.75,92.2,0,0,0,0,0,0,0,High
82,S00017,2026-01-19,89.75,92.2,0,0,0,0,0,0,0,High
83,S00017,2026-06-08,77.7,80.15,0,1,5,2,0,0,4,High
84,S00017,2026-08-24,79.15,81.6,0,1,6,2,0,0,1,High
85,S00017,2027-01-18,77.5,79.95,0,2,7,2,0,0,1,High
86,S00018,2025-08-25,85.8,85.6,0,0,0,0,0,0,0,High
87,S00018,2026-01-19,80.45,80.25,0,0,1,1,0,0,1,High
88,S00018,2026-06-08,77.65,77.45,0,0,3,1,1,0,1,High
89,S00018,2026-08-24,77.0,76.8,0,0,4,1,1,0,1,High
90,S00018,2027-01-18,79.7,79.5,0,1,4,1,1,0,0,High
91,S00019,2025-08-25,77.8,73.47,0,0,0,0,0,0,0,High
92,S00019,2026-01-19,71.8,67.47,0,0,2,1,0,0,1,Moderate
93,S00019,2026-06-08,68.8,64.47,0,0,4,2,0,0,2,Moderate
94,S00019,2026-08-24,67.35,63.02,0,0,5,2,1,0,1,Moderate
95,S00019,2027-01-18,65.7,61.37,0,0,6,3,1,0,1,Moderate
96,S00020,2025-08-25,88.9,90.45,0,0,0,0,0,0,0,High
97,S00020,2026-01-19,79.85,81.4,0,0,3,2,0,0,3,High
98,S00020,2026-06-08,84.95,86.5,0,0,3,2,0,0,0,High
99,S00020,2026-08-24,78.25,79.8,0,0,5,3,0,0,2,High
100,S00020,2027-01-18,73.1,74.65,0,0,8,4,1,0,3,Moderate
101,S00021,2025-08-25,92.1,95.85,0,0,0,0,0,0,0,High
102,S00021,2026-01-19,92.1,95.85,0,0,0,0,0,0,0,High
103,S00021,2026-06-08,87.75,91.5,0,0,1,0,0,0,1,High
104,S00021,2026-08-24,84.75,88.5,0,0,3,1,0,0,2,High
105,S00021,2027-01-18,88.5,92.25,0,0,4,1,0,0,0,High
106,S00022,2025-08-25,81.75,79.62,0,0,0,0,0,0,0,High
107,S00022,2026-01-19,75.3,73.17,0,1,3,2,1,0,0,High
108,S00022,2026-06-08,75.3,73.17,0,1,3,2,1,0,0,High
109,S00022,2026-08-24,70.95,68.82,0,1,4,2,1,0,1,Moderate
110,S00022,2027-01-18,72.35,70.22,0,1,6,3,1,0,0,Moderate
111,S00023,2025-08-25,87.34,88.21,0,0,0,0,0,0,0,High
112,S00023,2026-01-19,81.99,82.86,0,0,1,1,0,0,1,High
113,S00023,2026-06-08,85.69,86.56,0,0,1,1,0,0,0,High
