table_name,clean_rows,raw_rows,added_duplicate_rows,columns,output_file
academic_terms,5,7,2,6,C:\Users\adity\Documents\EduShield\data\raw\academic_terms.csv
departments,10,11,1,3,C:\Users\adity\Documents\EduShield\data\raw\departments.csv
majors,24,25,1,3,C:\Users\adity\Documents\EduShield\data\raw\majors.csv
instructors,100,101,1,7,C:\Users\adity\Documents\EduShield\data\raw\instructors.csv
students,1500,1523,23,13,C:\Users\adity\Documents\EduShield\data\raw\students.csv
courses,90,91,1,8,C:\Users\adity\Documents\EduShield\data\raw\courses.csv
course_offerings,261,263,2,8,C:\Users\adity\Documents\EduShield\data\raw\course_offerings.csv
assignments,800,812,12,20,C:\Users\adity\Documents\EduShield\data\raw\assignments.csv
submissions,15000,15234,234,32,C:\Users\adity\Documents\EduShield\data\raw\submissions.csv
detector_tools,5,6,1,8,C:\Users\adity\Documents\EduShield\data\raw\detector_tools.csv
ai_detector_results,75000,75944,944,11,C:\Users\adity\Documents\EduShield\data\raw\ai_detector_results.csv
student_behavior_events,10037,10177,140,10,C:\Users\adity\Documents\EduShield\data\raw\student_behavior_events.csv
integrity_cases,1375,1397,22,23,C:\Users\adity\Documents\EduShield\data\raw\integrity_cases.csv
student_integrity_history,7500,7586,86,13,C:\Users\adity\Documents\EduShield\data\raw\student_integrity_history.csv
