event_id,student_id,event_date,event_type,severity,course_id,related_submission_id,event_value,description_code,resolved
1,S01424,2026-04-11 10:58:39.242831900,AI Detector Flag,High,CRS0089,SUB000001,0.2465,AI_DETECTOR_THRESHOLD,True
2,S01489,2026-04-12 22:18:07.076360512,AI Detector Flag,Medium,CRS0089,SUB000002,0.9045,AI_DETECTOR_THRESHOLD,True
3,S00772,2026-04-10 22:12:17.714559498,Excessive Copy-Paste,High,CRS0089, SUB000006 ,0.1713,COPY_PASTE_ANOMALY,True
4,S00629,2026-04-11 04:48:12.247092138,AI Detector Flag,High,CRS0089,SUB000007,0.697,AI_DETECTOR_THRESHOLD,True
5,S01343,2026-04-11 19:13:50.333118602,AI Detector Flag,High,CRS0089,SUB000012,0.2909,AI_DETECTOR_THRESHOLD,True
6,S01462,2026-04-11 22:40:25.106915106,AI Detector Flag,Medium,CRS0089,SUB000013,0.6996,AI_DETECTOR_THRESHOLD,True
7,S00321,2026-04-11 09:51:57.525923327,Rapid Submission,Low,CRS0089,SUB000014,12.05,RAPID_SUBMISSION,True
8,S00969,2026-04-11 09:25:18.932456855,AI Detector Flag,Medium,CRS0089,SUB000015,0.1303,AI_DETECTOR_THRESHOLD,False
9,S00946,2026-04-10 13:30:34.674804718,Unusual Collaboration,Medium,CRS0089,SUB000016,,COLLABORATION_PATTERN,True
10,S00031,2026-04-12 06:31:31.941186725,Unauthorized File Sharing,High,CRS0089,SUB000018,,FILE_SHARING_MONITOR,True
11,S01402,2026-04-09 11:50:48.631843834,Repeated Revision Anomaly,Medium,CRS0089,SUB000019,3.0,LOW_REVISION_ACTIVITY,True
12,S00879,2025-11-10 16:28:36.354105057,Rapid Submission,Low,CRS0029,SUB000027,13.21,RAPID_SUBMISSION,True
13,S00792,2025-11-11 03:18:40.810596981,AI Detector Flag,High,CRS0029,SUB000031,0.2578,AI_DETECTOR_THRESHOLD,True
14,S00404,2025-11-10 20:16:23.887185283,AI Detector Flag,Medium,CRS0029,SUB000032,0.7959,AI_DETECTOR_THRESHOLD,True
15,S00404,2025-11-10 20:57:26.055654913,Similarity Flag,Medium,CRS0029,SUB000032,0.1224,SIMILARITY_THRESHOLD,True
16,S01367,2025-11-10 11:01:54.470219940,AI Detector Flag,Medium,CRS0029,SUB000033,0.1463,AI_DETECTOR_THRESHOLD,True
17,S01367,2025-11-10 11:30:36.096868955,Plagiarism Flag,Medium,CRS0029,SUB000033,0.6263,PLAGIARISM_SCREEN,True
18,S00235,2025-11-10 05:49:23.401873357,AI Detector Flag,Medium,CRS0029,SUB000034,0.7661,AI_DETECTOR_THRESHOLD,True
19,S01311,2025-11-09 09:20:02.225606619,Excessive Copy-Paste,Medium,CRS0029,SUB000037,,COPY_PASTE_ANOMALY,True
20,S00989,2025-11-10 15:04:44.806882207,AI Detector Flag,High,CRS0029,SUB000040,0.8328,AI_DETECTOR_THRESHOLD,True
21,S00989,2025-11-10 15:59:06.362507263,Similarity Flag,Medium,CRS0029,SUB000040,0.2695,SIMILARITY_THRESHOLD,True
22,S00989,2025-11-10 17:13:06.362507263,Excessive Copy-Paste,High,CRS0029,SUB000040,0.2363,COPY_PASTE_ANOMALY,True
23,S01158,2025-11-10 03:56:22.570026849,AI Detector Flag,High,CRS0029,SUB000045,0.8128,AI_DETECTOR_THRESHOLD,True
24, S01475 ,2025-11-12 22:02:59.989794453,Rapid Submission,Medium,CRS0029,SUB000047,0.0,RAPID_SUBMISSION,True
25,S00184,2025-11-10 18:11:21.763636781,Excessive Copy-Paste,High,CRS0029,SUB000048,0.078,COPY_PASTE_ANOMALY,True
26,S00461,2026-07-09 06:30:34.879418513,AI Detector Flag,Medium,CRS0007,SUB000049,0.7697,AI_DETECTOR_THRESHOLD,True
27,S00461,2026-07-09 07:57:56.705217325,Repeated Revision Anomaly,Low,CRS0007,SUB000049,0.0,LOW_REVISION_ACTIVITY,True
28,S00544,2026-07-08 02:27:13.682055247,AI Detector Flag,High,CRS0007,SUB000052,0.879,AI_DETECTOR_THRESHOLD,True
29,S00501,2026-07-09 10:25:10.524759570,Similarity Flag,High,CRS0007,SUB000055,0.2554,SIMILARITY_THRESHOLD,True
30,S00501,2026-07-09 10:14:10.524759570,Rapid Submission,Medium,,SUB000055,0.0,RAPID_SUBMISSION,True
31,S00501,2026-07-09 08:06:10.524759570,Plagiarism Flag,Medium,CRS0007,SUB000055,0.2554,PLAGIARISM_SCREEN,True
32,S01035,2026-07-09 09:01:08,AI Detector Flag,High,CRS0007,SUB000056,-10.0,AI_DETECTOR_THRESHOLD,True
33,S01035,2026-07-09 09:32:12.364016133,Similarity Flag,Medium,CRS0007,SUB000056,0.2999,SIMILARITY_THRESHOLD,True
34,S00095,2026-07-07 19:09:33.893927395,AI Detector Flag,High,CRS0007,SUB000058,0.7154,AI_DETECTOR_THRESHOLD,False
35,S00228,2026-07-08 00:17:40.369113219,AI Detector Flag,Medium,CRS0007,SUB000059,0.344,AI_DETECTOR_THRESHOLD,True
36,S00483,2026-07-07 05:33:58.654776530,AI Detector Flag,High,CRS0007,SUB000060,0.7806,AI_DETECTOR_THRESHOLD,True
37,S01439,2026-07-06 19:40:11.241793202,AI Detector Flag,High,CRS0007,SUB000061,0.7772,AI_DETECTOR_THRESHOLD,True
