history_id,student_id,snapshot_at,integrity_score,trust_factor_score,prior_confirmed_cases,prior_dismissed_cases,prior_suspicious_flags,prior_ai_flags,prior_plagiarism_flags,prior_sanction_points,recent_integrity_events,integrity_status
1, S00001 ,2025-08-25 00:00:00,89.31,94.85,0,0,0,0,0,0,0,High
2,S00001,2026-01-19 00:00:00,87.63,96.32,0,0,1,0,0,0,1,High
3,S00001,2026-06-08 00:00:00,86.62,92.5,0,0,1,0,0,0,0,High
4,S00001,2026-08-24 00:00:00,55.95,59.27,1,1,5,2,1,6,4,Moderate
5,S00001,2027-01-18 00:00:00,71.89,72.17,1,1,5,2,1,6,0,Moderate
6,S00002,2025-08-25 00:00:00,76.42,69.83,0,0,0,0,0,0,0,High
7,S00002,2026-01-19 00:00:00,62.33,55.02,1,0,1,1,0,6,1,Moderate
8,S00002,2026-06-08 00:00:00,55.86,51.01,1,0,2,2,0,6,1,Moderate
9,S00002,2026-08-24 00:00:00,53.31,52.36,1,1,3,3,0,6,1,Moderate
10,S00002,2027-01-18 00:00:00,41.74,38.48,1,2,7,6,0,6,3,Low
11,S00003,2025-08-25 00:00:00,86.73,89.53,0,0,0,0,0,0,0,High
12,S00003,2026-01-19 00:00:00,80.13,76.16,0,0,0,0,0,0,0,High
13,S00003,2026-06-08 00:00:00,84.8,76.93,0,0,0,0,0,0,0,High
14,S00003,2026-08-24 00:00:00,95.51,97.44,0,0,0,0,0,0,0,High
15,S00003,2027-01-18 00:00:00,,81.36,0,0,1,0,0,0,1,
16,S00004,2025-08-25 00:00:00,93.82,95.2,0,0,0,0,0,0,0,High
17,S00004,2026-01-19 00:00:00,95.6,100.0,0,0,0,0,0,0,0,High
18,S00004,2026-06-08 00:00:00,89.42,82.9,0,0,0,0,0,0,0,High
19,S00004,2026-08-24 00:00:00,85.6,88.53,0,0,3,1,1,0,3,High
20,S00004,2027-01-18 00:00:00,76.11,72.2,0,2,7,2,1,0,1,High
21,S00005,2025-08-25 00:00:00,80.42,75.2,0,0,0,0,0,0,0,High
22, S00005 ,2026-01-19 00:00:00,68.13,62.1,0,0,3,1,0,0,3,Moderate
23,S00005,2026-06-08 00:00:00,76.87,70.09,0,0,3,1,0,0,0,High
24,S00005,24/08/2026 00:00,54.16,60.08,0,1,8,4,0,0,5, Moderate 
25,S00005,2027-01-18 00:00:00,65.48,57.35,0,1,9,4,0,0,0,Moderate
26,S00006,2025-08-25 00:00:00,74.22,68.98,0,0,0,0,0,0,0,Moderate
27,S00006,2026-01-19 00:00:00,79.06,71.65,0,0,0,0,0,0,0,High
28,S00006,2026-06-08 00:00:00,66.45,62.79,0,0,2,0,0,0,2,Moderate
29,S00006,2026-08-24 00:00:00,68.19,68.49,0,0,3,1,0,0,1,Moderate
30,S00006,2027-01-18 00:00:00,72.94,68.91,0,0,3,1,0,0,0,Moderate
31,S00007,2025-08-25 00:00:00,89.86,89.91,0,0,0,0,0,0,0,High
32,S00007,2026-01-19 00:00:00,83.53,92.41,0,0,3,1,1,0,0,High
33,S00007,2026-06-08 00:00:00,87.08,93.89,0,0,3,1,1,0,0,High
34,S00007,2026-08-24 00:00:00,79.07,80.68,0,0,3,1,1,0,0,High
35,S00007,2027-01-18 00:00:00,77.38,83.46,0,1,4,1,1,0,0,High
36,S00008,2025-08-25 00:00:00,82.78,74.96,0,0,0,0,0,0,0,High
37,S00008,2026-01-19 00:00:00,81.05,79.02,0,0,2,0,0,0,0,High
38,S00008,2026-06-08 00:00:00,77.35,77.4,0,0,6,1,1,0,0,High
39,S00008,2026-08-24 00:00:00,68.5,65.37,0,0,6,1,1,0,0,Moderate
40,S00008,2027-01-18 00:00:00,74.55,72.05,0,0,6,1,1,0,0,Moderate
41,S00009,2025-08-25 00:00:00,84.49,92.65,0,0,0,0,0,0,0,High
42,S00009,2026-01-19 00:00:00,74.46,79.52,0,0,0,0,0,0,0, Moderate 
43,S00009,2026-06-08 00:00:00,87.25,92.63,0,0,0,0,0,0,0,High
44,S00009,2026-08-24 00:00:00,69.89,77.26,0,0,3,1,0,0,3,Moderate
45,S00009,2027-01-18 00:00:00,72.04,77.88,0,1,7,4,0,0,0,Moderate
46,S00010,2025-08-25 00:00:00,78.96,77.67,0,0,0,0,0,0,0,High
47,S00010,2026-01-19 00:00:00,76.06,77.38,0,1,2,0,1,0,1,High
48,S00010,2026-06-08 00:00:00,73.87,70.82,0,1,2,0,1,0,0,Moderate
49,S00010,2026-08-24 00:00:00,69.73,72.31,0,1,3,1,1,0,1,Moderate
50,S00010,2027-01-18 00:00:00,68.54,66.21,0,1,5,3,1,0,2,Moderate
51,S00011,2025-08-25 00:00:00,80.76,80.43,0,0,0,0,0,0,0,High
52, S00011 ,2026-01-19 00:00:00,83.67,84.12,0,0,0,0,0,0,0,High
53,S00011,2026-06-08 00:00:00,76.2,90.33,0,0,1,1,0,0,1,High
54,S00011,2026-08-24 00:00:00,80.6,79.69,0,0,2,1,0,0,1,High
55,S00011,2027-01-18 00:00:00,82.47,86.59,0,0,4,3,0,0,0,High
56,S00012,2025-08-25 00:00:00,80.15,73.34,0,0,0,0,0,0,0,High
57,S00012,2026-01-19 00:00:00,52.45,45.61,1,0,5,3,0,8,1,Moderate
58,S00012,2026-06-08 00:00:00,62.02,,1,0,5,3,0,8,0,Moderate
59,S00012,2026-08-24 00:00:00,62.43,60.97,1,0,5,3,0,8,0,Moderate
60,S00012,2027-01-18 00:00:00,54.43,43.23,1,0,9,5,0,8,1,Moderate
61,S00013,2025-08-25 00:00:00,82.36,81.29,0,0,0,0,0,0,0,High
62,S00013,2026-01-19 00:00:00,84.26,81.97,0,0,0,0,0,0,0,High
63,S00013,2026-06-08 00:00:00,77.63,80.22,0,0,0,0,0,0,0,High
64,S00013,2026-08-24 00:00:00,73.54,76.83,0,0,4,1,0,0,4,Moderate
65,S00013,2027-01-18 00:00:00,63.16,64.2,0,1,9,4,0,0,2,Moderate
66,S00014,2025-08-25 00:00:00,92.34,92.56,0,0,0,0,0,0,0,High
67,S00014,2026-01-19 00:00:00,83.85,84.93,0,0,0,0,0,0,0,High
68,S00014,2026-06-08 00:00:00,80.92,86.97,0,1,5,2,0,0,5,High
69,S00014,2026-08-24 00:00:00,70.01,70.49,0,1,6,3,0,0,1,Moderate
70,S00014,2027-01-18 00:00:00,73.58,77.61,0,1,7,4,0,0,1,Moderate
71,S00015,2025-08-25 00:00:00,93.7,94.38,0,0,0,0,0,0,0,High
72,S00015,2026-01-19 00:00:00,92.59,94.03,0,0,1,0,0,0,0,High
73, S00015 ,2026-06-08 00:00:00,89.5,89.18,0,0,1,0,0,0,0,High
74,S00015,2026-08-24 00:00:00,80.3,82.53,0,0,1,0,0,0,0,High
75,S00015,2027-01-18 00:00:00,58.69,57.75,1,0,5,3,0,6,4,Moderate
76,S00016,2025-08-25 00:00:00,86.37,79.91,0,0,0,0,0,0,0,High
77,S00016,2026-01-19 00:00:00,73.71,72.17,0,0,0,0,0,0,0,Moderate
78,S00016,2026-06-08 00:00:00,81.22,68.27,0,0,0,0,0,0,0,High
79,S00016,2026-08-24 00:00:00,71.49,61.87,0,0,1,1,0,0,1,Moderate
80,S00016,2027-01-18 00:00:00,74.05,67.46,0,0,1,1,0,0,0, Moderate 
81,S00017,2025-08-25 00:00:00,86.94,89.2,0,0,0,0,0,0,0,High
82,S00017,2026-01-19 00:00:00,79.45,84.16,0,0,0,0,0,0,0,High
83,S00017,2026-06-08 00:00:00,73.34,73.03,0,1,5,2,0,0,4,Moderate
84,S00017,2026-08-24 00:00:00,73.83,80.4,0,1,6,2,0,0,1,MODERATE
85,S00017,2027-01-18 00:00:00,69.37,68.34,0,2,7,2,0,0,1,Moderate
86,S00018,2025-08-25 00:00:00,89.25,92.93,0,0,0,0,0,0,0,High
87,S00018,2026-01-19 00:00:00,86.5,81.19,0,0,1,1,0,0,1,High
88, S00018 ,2026-06-08 00:00:00,75.59,79.74,0,0,3,1,1,0,1,High
89,S00018,2026-08-24 00:00:00,74.56,72.93,0,0,4,1,1,0,1,Moderate
90,S00018,2027-01-18 00:00:00,71.36,70.37,0,1,4,1,1,0,0,Moderate
91,S00019,2025-08-25 00:00:00,68.82,60.8,0,0,0,0,0,0,0,Moderate
92,S00019,2026-01-19 00:00:00,69.15,71.84,0,0,2,1,0,0,1,Moderate
93,S00019,2026-06-08 00:00:00,59.94,49.86,0,0,4,2,0,0,2,Moderate
94,S00019,2026-08-24 00:00:00,59.18,55.0,0,0,5,2,1,0,1,Moderate
95,S00019,2027-01-18 00:00:00,67.63,67.98,0,0,6,3,1,0,1,Moderate
96,S00020,2025-08-25 00:00:00,90.5,84.79,0,0,0,0,0,0,0,High
97,S00020,2026-01-19 00:00:00,76.82,72.63,0,0,3,2,0,0,3,High
98,S00020,2026-06-08 00:00:00,84.01,79.16,0,0,3,2,0,0,0,High
99,S00020,2026-08-24 00:00:00,77.82,76.2,0,0,5,3,0,0,2,High
100,S00020,2027-01-18 00:00:00,66.63,66.83,0,0,8,4,1,0,3,Moderate
101,S00021,2025-08-25 00:00:00,94.84,95.78,0,0,0,0,0,0,0,High
102,S00021,2026-01-19 00:00:00,97.53,94.21,0,0,0,0,0,0,0,High
103,S00021,2026-06-08 00:00:00,92.45,97.37,0,0,1,0,0,0,1,High
104,S00021,2026-08-24 00:00:00,86.75,95.77,0,0,3,1,0,0,2,High
105,S00021,2027-01-18 00:00:00,90.45,93.33,0,0,4,1,0,0,0,High
106,S00022,2025-08-25 00:00:00,82.53,78.04,0,0,0,0,0,0,0,High
107,S00022,2026-01-19 00:00:00,79.3,76.34,0,1,3,2,1,0,0,High
108,S00022,2026-06-08 00:00:00,70.18,67.63,0,1,3,2,1,0,0,Moderate
