table_name,column_name,dtype,non_null_count,missing_count,missing_percentage,unique_values,duplicate_values
academic_terms,term_id,str,7,0,0.0,5,2
academic_terms,term_name,str,7,0,0.0,6,1
academic_terms,academic_year,str,7,0,0.0,2,5
academic_terms,term_type,str,7,0,0.0,4,3
academic_terms,start_date,str,7,0,0.0,6,1
academic_terms,end_date,str,7,0,0.0,6,1
departments,department_id,str,11,0,0.0,10,1
departments,department_name,str,11,0,0.0,10,1
departments,department_code,str,11,0,0.0,10,1
majors,major_id,str,25,0,0.0,24,1
majors,major_name,str,25,0,0.0,24,1
majors,department_id,str,25,0,0.0,11,14
instructors,instructor_id,str,101,0,0.0,100,1
instructors,instructor_name,str,101,0,0.0,82,19
instructors,department_id,str,101,0,0.0,12,89
instructors,academic_rank,str,99,2,1.98,6,94
instructors,years_experience,float64,99,2,1.98,22,78
instructors,teaching_load,int64,101,0,0.0,10,91
instructors,ai_policy_adoption,str,99,2,1.98,3,97
students,student_id,str,1523,0,0.0,1500,23
students,first_name,str,1523,0,0.0,27,1496
students,last_name,str,1523,0,0.0,27,1496
students,gender,str,1493,30,1.97,3,1519
students,year_level,str,1523,0,0.0,16,1507
students,major_id,str,1523,0,0.0,42,1481
students,gpa,float64,1493,30,1.97,218,1304
students,enrollment_date,str,1523,0,0.0,362,1161
students,expected_graduation_year,int64,1523,0,0.0,6,1517
students,attendance_rate,float64,1493,30,1.97,1108,414
students,academic_standing,str,1493,30,1.97,12,1510
students,scholarship_status,str,1493,30,1.97,11,1511
students,active_status,str,1523,0,0.0,5,1518
courses,course_id,str,91,0,0.0,90,1
courses,course_code,str,91,0,0.0,90,1
courses,course_name,str,90,1,1.1,55,35
courses,department_id,str,91,0,0.0,11,80
courses,subject_area,str,91,0,0.0,11,80
courses,course_level,str,90,1,1.1,4,86
courses,difficulty_level,str,90,1,1.1,4,86
courses,credits,int64,91,0,0.0,3,88
course_offerings,offering_id,str,263,0,0.0,261,2
course_offerings,course_id,str,263,0,0.0,95,168
course_offerings,term_id,str,263,0,0.0,10,253
course_offerings,instructor_id,str,263,0,0.0,90,173
course_offerings,section_code,str,263,0,0.0,7,256
course_offerings,room_code,str,258,5,1.9,230,32
course_offerings,class_size,int64,263,0,0.0,133,130
course_offerings,delivery_mode,str,258,5,1.9,8,254
assignments,assignment_id,str,812,0,0.0,800,12
assignments,offering_id,str,812,0,0.0,266,546
assignments,assignment_title,str,796,16,1.97,554,257
assignments,assignment_type,str,812,0,0.0,18,794
assignments,difficulty_level,str,796,16,1.97,10,801
assignments,expected_word_count,int64,812,0,0.0,664,148
assignments,max_word_count,int64,812,0,0.0,682,130
assignments,prompt_complexity,float64,812,0,0.0,750,62
assignments,open_endedness,float64,812,0,0.0,749,63
assignments,research_intensity,float64,812,0,0.0,762,50
assignments,rubric_specificity,float64,812,0,0.0,745,67
assignments,requires_citations,str,812,0,0.0,8,804
assignments,required_references,float64,796,16,1.97,11,800
assignments,research_required,str,812,0,0.0,9,803
assignments,oral_defense_required,str,812,0,0.0,9,803
assignments,collaboration_allowed,str,812,0,0.0,9,803
assignments,allowed_ai_usage,str,812,0,0.0,10,802
assignments,design_type,str,796,16,1.97,20,791
assignments,assignment_open_at,str,812,0,0.0,688,124
assignments,submission_deadline,str,812,0,0.0,749,63
submissions,submission_id,str,15234,0,0.0,15000,234
submissions,student_id,str,15234,0,0.0,1678,13556
submissions,assignment_id,str,15234,0,0.0,990,14244
submissions,submitted_at,str,15234,0,0.0,15009,225
submissions,submission_status,str,15234,0,0.0,10,15224
submissions,word_count,int64,15234,0,0.0,2582,12652
submissions,cited_references,float64,14930,304,2.0,21,15212
submissions,similarity_score,float64,14927,307,2.02,12024,3209
submissions,late_submission,str,15234,0,0.0,10,15224
submissions,hours_before_deadline,float64,15234,0,0.0,6129,9105
submissions,editing_sessions,float64,14929,305,2.0,16,15217
submissions,revision_count,float64,14931,303,1.99,15,15218
submissions,draft_count,float64,14929,305,2.0,10,15223
submissions,time_spent_minutes,float64,14929,305,2.0,406,14827
submissions,copy_paste_ratio,float64,15234,0,0.0,10705,4529
submissions,number_of_edits,int64,15234,0,0.0,273,14961
submissions,typing_consistency,float64,14931,303,1.99,12585,2648
submissions,avg_sentence_length,float64,15234,0,0.0,10334,4900
