table_name,column_name,missing_count,missing_percentage
integrity_cases,appeal_date,1253,89.69
integrity_cases,sanction_type,1009,72.23
student_behavior_events,event_value,1822,17.9
detector_tools,model_version,1,16.67
integrity_cases,investigation_duration_days,128,9.16
integrity_cases,case_closed_date,128,9.16
ai_detector_results,writing_style_score,2854,3.76
ai_detector_results,detector_perplexity_score,2703,3.56
ai_detector_results,text_length,2501,3.29
ai_detector_results,confidence_score,2274,2.99
submissions,similarity_score,307,2.02
submissions,feedback_score,306,2.01
submissions,lexical_diversity,305,2.0
submissions,draft_count,305,2.0
submissions,editing_sessions,305,2.0
submissions,cited_references,304,2.0
submissions,vocabulary_richness,304,2.0
integrity_cases,trigger_source,28,2.0
submissions,time_spent_minutes,305,2.0
submissions,revision_count,303,1.99
student_behavior_events,severity,203,1.99
submissions,semantic_coherence,303,1.99
student_behavior_events,resolved,203,1.99
submissions,typing_consistency,303,1.99
instructors,academic_rank,2,1.98
student_behavior_events,description_code,202,1.98
student_behavior_events,course_id,202,1.98
instructors,ai_policy_adoption,2,1.98
instructors,years_experience,2,1.98
students,gpa,30,1.97
students,gender,30,1.97
students,academic_standing,30,1.97
students,attendance_rate,30,1.97
assignments,design_type,16,1.97
students,scholarship_status,30,1.97
assignments,required_references,16,1.97
assignments,difficulty_level,16,1.97
assignments,assignment_title,16,1.97
integrity_cases,student_response,27,1.93
course_offerings,room_code,5,1.9
course_offerings,delivery_mode,5,1.9
student_integrity_history,integrity_score,115,1.52
student_integrity_history,trust_factor_score,113,1.49
student_integrity_history,integrity_status,113,1.49
courses,course_name,1,1.1
courses,difficulty_level,1,1.1
courses,course_level,1,1.1
ai_detector_results,detected_as_ai,775,1.02
ai_detector_results,ai_probability,775,1.02
