table_name,column_name,numeric_values,minimum,maximum,mean,median
instructors,years_experience,99,1.0,29.0,10.545454545454545,10.0
instructors,teaching_load,101,0,9,2.603960396039604,2.0
students,gpa,1493,-0.4,4.75,3.0595177494976555,3.06
students,expected_graduation_year,1523,2018,2045,2027.5128036769534,2027.0
students,attendance_rate,1493,-8.0,107.0,85.60922304085734,86.08
courses,credits,91,-1,4,3.197802197802198,3.0
course_offerings,class_size,263,-5,180,104.24714828897338,105.0
assignments,expected_word_count,812,705,25000,1717.5665024630541,1589.5
assignments,max_word_count,812,-100,30000,2029.2179802955666,1886.0
assignments,prompt_complexity,812,-10.0,120.0,53.75475369458128,53.45
assignments,open_endedness,812,10.0,115.0,62.432044334975366,62.57
assignments,research_intensity,812,20.3,125.0,60.062044334975376,62.155
assignments,rubric_specificity,812,-5.0,100.0,64.76357142857142,64.5
assignments,requires_citations,6,1.0,1.0,1.0,1.0
assignments,required_references,796,0.0,11.0,3.371859296482412,3.0
assignments,research_required,4,1.0,1.0,1.0,1.0
assignments,oral_defense_required,7,0.0,1.0,0.2857142857142857,0.0
assignments,collaboration_allowed,4,0.0,1.0,0.75,1.0
submissions,word_count,15234,-50,25000,1661.0573060259944,1556.0
submissions,cited_references,14930,-4.0,100.0,5.277762893503014,5.0
submissions,similarity_score,14927,-0.1,1.15,0.18640119046023984,0.168
submissions,late_submission,66,0.0,1.0,0.12121212121212122,0.0
submissions,hours_before_deadline,15234,-47.99,110.38,16.139849678351055,17.1
submissions,editing_sessions,14929,-2.0,40.0,3.539486904682162,3.0
submissions,revision_count,14931,-3.0,50.0,2.9635657357176344,3.0
submissions,draft_count,14929,1.0,10.0,2.291580146024516,2.0
submissions,time_spent_minutes,14929,-30.0,3000.0,159.1614977560453,149.0
submissions,copy_paste_ratio,15234,-0.08,1.2,0.09428471182880398,0.075125
submissions,number_of_edits,15234,0,331,91.12662465537613,85.0
submissions,typing_consistency,14931,-0.1,1.15,0.7209046989484964,0.73541
submissions,avg_sentence_length,15234,6.0,41.633,20.362875935407644,20.438000000000002
submissions,sentence_length_std,15234,1.0,20.0,6.966855323618222,6.836
submissions,vocabulary_richness,14930,-0.1,1.15,0.5015298479571333,0.5039750000000001
submissions,lexical_diversity,14929,-0.1,1.15,0.4698320550606203,0.47085
submissions,repetition_ratio,15234,-0.05,0.8,0.10260975580937377,0.089
submissions,paragraph_count,15234,3,25,11.528554549035054,11.0
submissions,grammar_error_rate,15234,-0.05,0.8,0.05428379283182355,0.045925
submissions,citation_density,15234,0.0,20.0,3.322746039779441,3.182855
submissions,semantic_coherence,14931,-0.1,1.15,0.6836832556426227,0.68723
submissions,perplexity_score,15234,-0.1,1.15,0.5138680202179335,0.52139
submissions,burstiness_score,15234,-0.1,1.15,0.5389530609163713,0.551825
submissions,grade,15234,-10.0,115.0,72.06439214914008,72.045
submissions,feedback_score,14928,31.1,100.0,72.16298231511254,72.16
submissions,is_ai_generated,57,0.0,1.0,0.2807017543859649,0.0
detector_tools,baseline_false_positive_rate,6,-0.05,0.075,0.034999999999999996,0.045
detector_tools,baseline_false_negative_rate,6,0.1,1.15,0.2875,0.12
detector_tools,calibration_score,6,0.9,1.15,0.9566666666666667,0.925
detector_tools,active_status,6,True,True,1.0,1.0
ai_detector_results,detector_result_id,75944,1,75000,37495.07256662804,37493.5
ai_detector_results,ai_probability,75169,-0.1,1.15,0.4475320871635914,0.36373
ai_detector_results,confidence_score,73670,-0.1,1.15,0.7779773507533596,0.79303
ai_detector_results,detected_as_ai,306,0.0,1.0,0.434640522875817,0.0
ai_detector_results,writing_style_score,73090,-0.1,1.15,0.726955145163497,0.72618
ai_detector_results,detector_perplexity_score,73241,-0.1,1.15,0.5139508123865049,0.52074
ai_detector_results,text_length,73443,-100.0,100000.0,9090.888335171494,8479.0
student_behavior_events,event_id,10177,1,10037,5018.892306180604,5022.0
student_behavior_events,event_value,8355,-10.0,100.0,1.263773237582286,0.439
student_behavior_events,resolved,51,0.0,1.0,0.8823529411764706,1.0
integrity_cases,evidence_strength,1397,-15.0,115.0,60.484617036506805,65.44
integrity_cases,plagiarism_flag,8,0.0,0.0,0.0,0.0
integrity_cases,ai_detector_flag,6,0.0,1.0,0.8333333333333334,1.0
integrity_cases,network_flag,5,0.0,0.0,0.0,0.0
integrity_cases,faculty_report,8,0.0,1.0,0.375,0.0
integrity_cases,investigation_duration_days,1269,-10.0,45.0,9.275019700551615,8.0
integrity_cases,appealed,8,0.0,1.0,0.25,0.0
integrity_cases,sanction_points,1397,-5,100,1.6363636363636365,0.0
student_integrity_history,history_id,7586,1,7500,3748.7744529396255,3750.5
student_integrity_history,integrity_score,7471,-10.0,115.0,77.66169856779547,79.2
student_integrity_history,trust_factor_score,7473,-8.0,120.0,77.95849056603774,79.39
student_integrity_history,prior_confirmed_cases,7586,-2,30,0.12799894542578433,0.0
student_integrity_history,prior_dismissed_cases,7586,-2,30,0.2483522277880306,0.0
student_integrity_history,prior_suspicious_flags,7586,-3,50,2.8170313735829158,2.0
student_integrity_history,prior_ai_flags,7586,-2,50,1.333245452148695,1.0
student_integrity_history,prior_plagiarism_flags,7586,-2,50,0.2106511995781703,0.0
student_integrity_history,prior_sanction_points,7586,-5,100,0.6190350645926707,0.0
student_integrity_history,recent_integrity_events,7586,0,10,0.6986554178750329,0.0
