table_name,column_name,valid_dates,invalid_date_values,missing_dates,minimum_date,maximum_date
academic_terms,start_date,6,1,0,2025-08-18 00:00:00.000000000,2027-01-11 00:00:00.000000000
academic_terms,end_date,6,1,0,2025-12-19 00:00:00.000000000,2027-05-14 00:00:00.000000000
students,enrollment_date,1491,32,0,2022-08-01 00:00:00.000000000,2025-10-28 00:00:00.000000000
assignments,assignment_open_at,798,14,0,2025-08-28 18:00:00.000000000,2027-03-13 17:00:00.000000000
assignments,submission_deadline,793,19,0,2025-09-08 03:00:00.000000000,2027-04-26 05:00:00.000000000
submissions,submitted_at,14854,380,0,2025-09-05 03:13:54.202978990,2027-04-27 23:33:15.834142649
ai_detector_results,test_timestamp,74049,1895,0,2025-09-05 03:19:53.865797283,2027-04-27 23:43:08.125081970
student_behavior_events,event_date,9922,255,0,2025-09-05 17:27:50.191150200,2027-04-28 12:21:36.652275350
integrity_cases,incident_date,1370,27,0,2025-09-07 07:24:46.100426338,2027-04-27 17:49:03.654412671
integrity_cases,case_open_date,1370,27,0,2025-09-08 13:14:21.081603156,2027-04-28 05:33:44.460356530
integrity_cases,appeal_date,142,2,1253,2025-10-07 15:11:22.467834767,2027-05-17 12:33:44.460356530
integrity_cases,case_closed_date,1241,28,128,2025-09-16 00:44:48.297565113,2027-05-18 00:32:46.505623220
student_integrity_history,snapshot_at,7438,148,0,2025-08-25 00:00:00.000000000,2027-01-18 00:00:00.000000000
