table_name,column_name,dtype,missing_values
academic_terms,start_date,datetime64[us],0
academic_terms,end_date,datetime64[us],0
students,enrollment_date,datetime64[us],0
assignments,assignment_open_at,datetime64[us],0
assignments,submission_deadline,datetime64[us],0
submissions,submitted_at,datetime64[ns],0
ai_detector_results,test_timestamp,datetime64[ns],0
student_behavior_events,event_date,datetime64[ns],0
integrity_cases,incident_date,datetime64[ns],0
integrity_cases,case_open_date,datetime64[ns],0
integrity_cases,appeal_date,datetime64[ns],1243
integrity_cases,case_closed_date,datetime64[ns],127
student_integrity_history,snapshot_at,datetime64[us],0
