table_name,rows,columns,csv_file,parquet_file,missing_cells,duplicate_rows
academic_terms,5,6,academic_terms.csv,academic_terms.parquet,0,0
departments,10,3,departments.csv,departments.parquet,0,0
majors,24,3,majors.csv,majors.parquet,0,0
instructors,100,7,instructors.csv,instructors.parquet,0,0
students,1500,13,students.csv,students.parquet,0,0
courses,90,8,courses.csv,courses.parquet,0,0
course_offerings,261,8,course_offerings.csv,course_offerings.parquet,0,0
assignments,800,20,assignments.csv,assignments.parquet,0,0
submissions,14983,32,submissions.csv,submissions.parquet,0,0
detector_tools,5,8,detector_tools.csv,detector_tools.parquet,1,0
ai_detector_results,74561,11,ai_detector_results.csv,ai_detector_results.parquet,12129,0
student_behavior_events,9984,10,student_behavior_events.csv,student_behavior_events.parquet,1993,0
integrity_cases,1363,23,integrity_cases.csv,integrity_cases.parquet,2471,0
student_integrity_history,7500,13,student_integrity_history.csv,student_integrity_history.parquet,0,0
