feature_name,data_type,feature_group
submission_status,str,categorical
word_count,int64,numeric
cited_references,float64,numeric
similarity_score,float64,numeric
late_submission,bool,categorical
hours_before_deadline,float64,numeric
editing_sessions,float64,numeric
revision_count,float64,numeric
draft_count,float64,numeric
time_spent_minutes,float64,numeric
copy_paste_ratio,float64,numeric
number_of_edits,int64,numeric
typing_consistency,float64,numeric
avg_sentence_length,float64,numeric
sentence_length_std,float64,numeric
vocabulary_richness,float64,numeric
lexical_diversity,float64,numeric
repetition_ratio,float64,numeric
paragraph_count,int64,numeric
grammar_error_rate,float64,numeric
citation_density,float64,numeric
semantic_coherence,float64,numeric
perplexity_score,float64,numeric
burstiness_score,float64,numeric
gender,str,categorical
year_level,str,categorical
major_name,str,categorical
department_name,str,categorical
gpa,float64,numeric
attendance_rate,float64,numeric
academic_standing,str,categorical
scholarship_status,str,categorical
active_status,str,categorical
assignment_type,str,categorical
difficulty_level,str,categorical
expected_word_count,int64,numeric
max_word_count,int64,numeric
prompt_complexity,float64,numeric
open_endedness,float64,numeric
research_intensity,float64,numeric
rubric_specificity,float64,numeric
requires_citations,bool,categorical
required_references,int64,numeric
research_required,bool,categorical
oral_defense_required,bool,categorical
collaboration_allowed,bool,categorical
allowed_ai_usage,str,categorical
design_type,str,categorical
subject_area,str,categorical
course_level,str,categorical
credits,int64,numeric
academic_rank,str,categorical
years_experience,float64,numeric
teaching_load,int64,numeric
ai_policy_adoption,str,categorical
term_name,str,categorical
academic_year,str,categorical
delivery_mode,str,categorical
class_size,int64,numeric
department_name_assignment,str,categorical
mean_detector_ai_probability,float64,numeric
max_detector_ai_probability,float64,numeric
min_detector_ai_probability,float64,numeric
std_detector_ai_probability,float64,numeric
mean_detector_confidence,float64,numeric
max_detector_confidence,float64,numeric
detectors_detecting_ai,Float64,numeric
detectors_available,float64,numeric
detector_result_count,float64,numeric
successful_detector_count,float64,numeric
detector_ai_probability_range,float64,numeric
detector_disagreement,float64,numeric
detector_copyleaks_ai_probability,float64,numeric
detector_gptzero_ai_probability,float64,numeric
detector_originalityai_ai_probability,float64,numeric
detector_turnitin_ai_probability,float64,numeric
detector_winston_ai_ai_probability,float64,numeric
prior_total_integrity_events,int64,numeric
prior_30d_integrity_events,int64,numeric
prior_90d_integrity_events,int64,numeric
prior_ai_detector_flag,int64,numeric
prior_similarity_flag,int64,numeric
prior_unusual_collaboration,int64,numeric
prior_rapid_submission,int64,numeric
prior_plagiarism_flag,int64,numeric
prior_excessive_copy_paste,int64,numeric
prior_repeated_revision_anomaly,int64,numeric
prior_peer_report,int64,numeric
prior_unauthorized_file_sharing,int64,numeric
integrity_score,float64,numeric
trust_factor_score,float64,numeric
prior_confirmed_cases,int64,numeric
prior_dismissed_cases,int64,numeric
prior_suspicious_flags,int64,numeric
prior_ai_flags,int64,numeric
prior_plagiarism_flags,int64,numeric
prior_sanction_points,int64,numeric
recent_integrity_events,int64,numeric
integrity_status,str,categorical
word_count_vs_expected,float64,numeric
word_count_vs_max,float64,numeric
word_count_deviation,int64,numeric
citation_gap,float64,numeric
references_per_1000_words,float64,numeric
edits_per_100_words,float64,numeric
revisions_per_100_words,float64,numeric
drafts_per_100_words,float64,numeric
words_per_minute,float64,numeric
linguistic_complexity,float64,numeric
ai_style_signal,float64,numeric
submission_hour,int32,numeric
submission_day_of_week,int32,numeric
detector_coverage,float64,numeric
detector_ai_flag_rate,Float64,numeric
prior_case_count,int64,numeric
prior_integrity_event_density,float64,numeric
